Device Label, Date, Time, Duration
Gateway Left,2021-07-09,22:30:54.059,0:0:0.2469999999999999
Gateway Left,2021-07-10,22:57:47.973,0:0:0.2740000000000009
Gateway Left,2021-07-15,22:09:56.696,0:1:7.576999999999998
Gateway Left,2021-07-19,22:26:01.992,0:0:22.351
Gateway Left,2021-07-21,22:49:23.682,0:0:7.2840000000000025
Gateway Left,2021-07-22,22:10:53.836,0:0:0.25500000000000256
Gateway Left,2021-07-24,22:43:33.772,0:0:0.27199999999999847
Gateway Left,2021-07-26,22:14:26.171,1:6:52.495000000000005
Gateway Left,2021-07-27,22:30:07.082,0:0:0.25100000000000033
