Gateway Left,7/9/2021,19:31,00:00.2
Gateway Left,7/9/2021,19:32,00:00.2
Gateway Left,7/9/2021,19:32,00:00.2
Gateway Left,7/9/2021,19:34,00:03.2
Gateway Left,7/9/2021,19:36,00:00.3
Gateway Left,7/9/2021,19:37,00:00.2
Gateway Left,7/9/2021,19:40,00:00.3
Gateway Left,7/9/2021,19:43,00:00.3
Gateway Left,7/9/2021,19:46,00:00.4
Gateway Left,7/9/2021,19:53,00:02.6
Gateway Left,7/9/2021,19:55,00:00.2
Gateway Left,7/9/2021,19:56,00:00.2
Gateway Left,7/9/2021,19:58,00:00.2
Gateway Left,7/9/2021,20:06,00:28.2
Gateway Left,7/9/2021,20:09,00:02.2
Gateway Left,7/9/2021,20:10,00:00.2
Gateway Left,7/9/2021,20:12,00:00.2
Gateway Left,7/9/2021,20:12,00:00.2
Gateway Left,7/9/2021,20:15,00:00.2
Gateway Left,7/9/2021,20:16,00:00.2
Gateway Left,7/9/2021,20:18,00:00.2
Gateway Left,7/9/2021,20:22,00:00.3
Gateway Left,7/9/2021,20:26,00:00.2
Gateway Left,7/9/2021,20:35,00:00.2
Gateway Left,7/9/2021,20:37,00:00.2
Gateway Left,7/9/2021,20:39,00:00.2
Gateway Left,7/9/2021,20:41,00:00.4
Gateway Left,7/9/2021,20:46,00:00.2
Gateway Left,7/9/2021,20:47,00:00.3
Gateway Left,7/9/2021,20:54,00:00.3
Gateway Left,7/9/2021,22:30,00:00.2
Gateway Left,7/10/2021,19:28,00:28.4
Gateway Left,7/10/2021,19:33,00:00.2
Gateway Left,7/10/2021,19:34,00:00.3
Gateway Left,7/10/2021,19:35,00:08.9
Gateway Left,7/10/2021,19:37,00:00.2
Gateway Left,7/10/2021,19:38,00:00.3
Gateway Left,7/10/2021,19:39,00:00.2
Gateway Left,7/10/2021,19:41,00:04.0
Gateway Left,7/10/2021,19:42,00:00.2
Gateway Left,7/10/2021,19:46,00:00.4
Gateway Left,7/10/2021,19:47,00:00.2
Gateway Left,7/10/2021,19:48,00:00.2
Gateway Left,7/10/2021,19:51,00:06.0
Gateway Left,7/10/2021,19:53,00:00.2
Gateway Left,7/10/2021,19:55,00:00.2
Gateway Left,7/10/2021,19:58,00:00.2
Gateway Left,7/10/2021,19:58,00:00.2
Gateway Left,7/10/2021,19:59,00:00.2
Gateway Left,7/10/2021,20:01,00:00.3
Gateway Left,7/10/2021,20:02,00:00.3
Gateway Left,7/10/2021,20:03,00:00.3
Gateway Left,7/10/2021,20:04,00:00.3
Gateway Left,7/10/2021,20:06,00:00.3
Gateway Left,7/10/2021,20:06,00:00.4
Gateway Left,7/10/2021,20:08,00:00.2
Gateway Left,7/10/2021,20:08,00:00.2
Gateway Left,7/10/2021,20:10,00:00.2
Gateway Left,7/10/2021,20:13,00:00.2
Gateway Left,7/10/2021,20:14,00:00.2
Gateway Left,7/10/2021,20:15,00:02.8
Gateway Left,7/10/2021,20:16,00:00.2
Gateway Left,7/10/2021,20:17,00:00.2
Gateway Left,7/10/2021,20:23,00:00.3
Gateway Left,7/10/2021,20:24,00:00.2
Gateway Left,7/10/2021,20:26,00:00.2
Gateway Left,7/10/2021,20:28,00:00.2
Gateway Left,7/10/2021,20:30,00:00.2
Gateway Left,7/10/2021,20:33,00:00.4
Gateway Left,7/10/2021,20:33,00:00.2
Gateway Left,7/10/2021,20:34,00:00.3
Gateway Left,7/10/2021,20:34,00:00.2
Gateway Left,7/10/2021,20:38,00:00.2
Gateway Left,7/10/2021,20:40,00:00.2
Gateway Left,7/10/2021,20:40,00:00.2
Gateway Left,7/10/2021,20:42,00:00.4
Gateway Left,7/10/2021,20:44,00:00.2
Gateway Left,7/10/2021,20:45,00:00.2
Gateway Left,7/10/2021,20:47,00:00.2
Gateway Left,7/10/2021,20:50,00:00.2
Gateway Left,7/10/2021,20:52,00:00.2
Gateway Left,7/10/2021,20:53,00:00.2
Gateway Left,7/10/2021,20:57,00:00.3
Gateway Left,7/10/2021,21:02,00:00.4
Gateway Left,7/10/2021,21:04,00:00.2
Gateway Left,7/10/2021,21:05,00:00.2
Gateway Left,7/10/2021,21:06,00:00.2
Gateway Left,7/10/2021,21:07,00:00.2
Gateway Left,7/10/2021,21:10,00:00.2
Gateway Left,7/10/2021,21:10,00:04.5
Gateway Left,7/10/2021,22:57,00:00.3
Gateway Left,7/12/2021,5:15,6:-9:32.688
Gateway Left,7/12/2021,19:23,00:00.2
Gateway Left,7/12/2021,19:29,00:01.4
Gateway Left,7/12/2021,19:30,00:00.2
Gateway Left,7/12/2021,19:34,00:00.4
Gateway Left,7/12/2021,19:34,00:00.3
Gateway Left,7/12/2021,19:35,00:00.2
Gateway Left,7/12/2021,19:36,00:00.2
Gateway Left,7/12/2021,19:37,00:00.2
Gateway Left,7/12/2021,19:38,00:00.2
Gateway Left,7/12/2021,19:38,00:02.3
Gateway Left,7/12/2021,19:39,00:24.1
Gateway Left,7/12/2021,19:42,00:00.2
Gateway Left,7/12/2021,19:45,00:00.3
Gateway Left,7/12/2021,19:50,00:00.3
